Year,GLD,WTI,CPER,KOL,SP500,CPI,EPU,UST10Y,USDINR,BRENT_diff
2019-12-01,143.91986588289473,49.116447873815794,16.05815789776316,100.53026549605264,2949.197429368421,257.0463552631579,121.91697368421053,1.5109210526315788,71.87315789473685,-5.045395121842105
2020-01-01,145.32506310855263,41.796776558092105,15.425920976118421,90.43486997197368,2827.5611973157897,256.8793223684211,211.58651315789473,1.2845394736842106,73.02342105263159,-13.152302629078946
2020-02-01,146.73026033421053,34.477105242368424,14.793684054473685,80.33947444789473,2705.924965263158,256.7122894736842,301.25605263157894,1.058157894736842,74.17368421052632,-21.259210136315787
2020-03-01,148.0447996743421,27.629670785723686,14.202236611644736,70.89539476407894,2592.1362320526314,256.55603289473686,385.1404605263158,0.8463815789473684,75.24973684210526,-28.843091352763153
2020-04-01,149.4499969,20.30999947,13.56999969,60.79999924,2470.5,256.389,474.81,0.62,76.4,-36.949998859999994
2020-05-01,159.7799988,19.78000069,14.55000019,62.18000031,2830.709961,256.394,516.72,0.64,75.75,1.7000007599999982
2020-06-01,163.6600037,35.43999863,15.59000015,71.15000153,3055.72998,257.797,226.8,0.66,75.56,11.879999160000004
2020-07-01,166.6199951,39.81999969,17.11000061,71.4835968,3115.860107,259.101,329.62,0.69,75.5,3.7099990899999966
2020-08-01,175.8349991,41.289999005,17.920000075,73.2417984,3321.2550045,259.6905,267.155,0.685,74.25,3.6300010699999987
2020-09-01,185.0500031,42.75999832,18.72999954,75.0,3526.649902,260.28,204.69,0.68,73.0,3.550003050000001
2020-10-01,178.6999969,38.72000122,17.86000061,78.74169922,3380.800049,260.388,259.5,0.68,73.18,-4.6500015200000036
2020-11-01,174.37015870000002,41.682787099016394,19.821639293606555,85.48485928114754,3523.933605754098,260.4317049180328,253.75737704918032,0.8019672131147542,73.34770491803279,1.0113096403278687
2020-12-01,170.1799927,44.54999924,21.71999931,92.01049805,3662.449951,260.474,248.2,0.92,73.51,6.489997860000003
